+--------------------------------+--------------------------------------------------------------------------------------+---------+-------------------------------------------------------------------------------+-----------------+------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
| manifest_schema                | manifest_id                                                                          | arm     | graph_id                                                                      | layer           | value_schema                             | config_identity                                                         | resolved_digest                                                         | depends_on                                                                                                                                      |
+--------------------------------+--------------------------------------------------------------------------------------+---------+-------------------------------------------------------------------------------+-----------------+------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | corpus          | schema:rag-ttc.config.corpus/v1          | config:8cacbe6e0555b972805f6e90e71d3ef1ab2f53eae1f8871cbbdd72ed669e5415 | sha256:f32db127592230be307cbc8149b79f7014cc7cfd6b549dbd03f76b4455b7acb1 |                                                                                                                                                 |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | chunking        | schema:rag-ttc.config.chunking/v1        | config:5c63a7940c5523d659bd4568c647acda6aef21bfa18861a05b8f63ac5fedd460 | sha256:dce89f526d19bbdacea7cb033aea1a0ed565b0455ea4c4e94323948683a69e3e | config:8cacbe6e0555b972805f6e90e71d3ef1ab2f53eae1f8871cbbdd72ed669e5415                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | representations | schema:rag-ttc.config.representations/v1 | config:935a41047bac455c01413280c06e40a4c639c814ad46a780ab8fab2412f3e1e7 | sha256:9f0b306d10dbcb84371a28752d4d93e7a71899d7149dfd1897e9da9b170bc1d3 | config:5c63a7940c5523d659bd4568c647acda6aef21bfa18861a05b8f63ac5fedd460                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | embeddings      | schema:rag-ttc.config.embeddings/v1      | config:5f3aab2f3c02eb2ff5a0d5240843bac94b271bbd06338439d604af6cc73196a7 | sha256:b47f66f9f25590107cbaa35afa9aae31eacd45eff48c97b1f1fd2d8567e0d124 | config:935a41047bac455c01413280c06e40a4c639c814ad46a780ab8fab2412f3e1e7                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | indexes         | schema:rag-ttc.config.indexes/v1         | config:c489559950e2f90c4ebdc025ad46a9dc2cfe08d4d1df0945dbeca6182a616704 | sha256:37430581d01b118ef01d1e1d1574414a291a6b479670fa8f7f3bf8bb1afd30f5 | config:5f3aab2f3c02eb2ff5a0d5240843bac94b271bbd06338439d604af6cc73196a7,config:935a41047bac455c01413280c06e40a4c639c814ad46a780ab8fab2412f3e1e7 |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | retrieval       | schema:rag-ttc.config.retrieval/v1       | config:467145c74bb78bce25ef724b79e9575084edc6a08c6b332e5ce7278d215c3212 | sha256:8e46a91fd26ccbde507a001efab94e686fbfabf7abaeeecb9b82844b30d09d39 | config:c489559950e2f90c4ebdc025ad46a9dc2cfe08d4d1df0945dbeca6182a616704                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | fusion          | schema:rag-ttc.config.fusion/v1          | config:040ca368612731f10751808236517ef58ef5d7d854136bec2305d122645c6be9 | sha256:528b3e6d96653e64f618c6aa0c50e7f89888cdb45bf869b033bf7a9d567c908c | config:467145c74bb78bce25ef724b79e9575084edc6a08c6b332e5ce7278d215c3212                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | reranking       | schema:rag-ttc.config.reranking/v1       | config:7cf7d081f72d5cfcf065c7c66b47a601520f54a839201840d7ec53b0bdc3c019 | sha256:a1061493c02050d53781e270f394e354294d142fb8958052cc077f7cd1535381 | config:040ca368612731f10751808236517ef58ef5d7d854136bec2305d122645c6be9                                                                         |
| rag-ttc.experiment-manifest/v2 | experiment-manifest:efc27829f4d7da0f98e7528b01635b52f9c45588adc841666217d9c00b5359a7 | limit-1 | config-graph:03c797ad7930837aa220f402d56dc6444ccd2b7c0099642e3518c85883798d08 | evidence        | schema:rag-ttc.config.evidence/v1        | config:4d9a6dfcb5ff7885deefdb6031d429aa9107b664bafd8b51b230bb2583c53747 | sha256:a93cf25d052f4acaa8411a8e7902bb384db7b8f18760db466850cb34bd5d67e0 | config:7cf7d081f72d5cfcf065c7c66b47a601520f54a839201840d7ec53b0bdc3c019                                                                         |
